City_or_County,Year,Month,Day,CC_Year,CC_Month,CC_Day,Hour,Minute,Types_of_waters,Drowning_reasons,Drowning_results,Gender,Age,Swimming_skills
Hualien County,2015,11,1,2015,9,20,10,12,River,Others,Rescued,Male,24,No
Hualien County,2015,11,28,2015,10,17,13,42,Offshore (<1km),Suicide,Rescued,Male,44,Unknown
Penghu County,2015,3,12,2015,1,22,19,0,Offshore (<1km),Fishing,Dead,Male,64,Yes
Penghu County,2015,3,18,2015,1,28,9,11,Offshore (<1km),Others,Dead,Female,84,No
Penghu County,2015,4,9,2015,2,21,22,15,Dock,Traffic Accident,Dead,Female,39,Unknown
Penghu County,2015,4,19,2015,3,1,23,30,Offshore (<1km),Fishing,Dead,Male,43,Yes
Penghu County,2015,7,5,2015,5,20,17,15,Offshore (<1km),Fishing,Dead,Male,70,Yes
Penghu County,2015,7,23,2015,6,8,9,35,Others,Others,Dead,Female,37,Unknown
Penghu County,2015,8,26,2015,7,13,12,26,Offshore (<1km),Fishing,Dead,Male,79,Yes
Penghu County,2015,9,2,2015,7,20,22,30,Offshore (<1km),Others,Dead,Female,74,No
Penghu County,2015,11,6,2015,9,25,1,3,Offshore (<1km),Snorkeling,Dead,Male,22,Yes
Keelung City,2015,5,30,2015,4,13,10,28,Offshore (<1km),Others,Dead,Female,40,Unknown
Keelung City,2015,6,8,2015,4,22,8,0,Offshore (<1km),Others,Dead,Female,65,Unknown
Keelung City,2015,6,19,2015,5,4,4,36,Dock,Others,Dead,Female,46,Unknown
Keelung City,2015,7,5,2015,5,20,19,1,Offshore (<1km),Playing,Rescued,Female,10,No
Keelung City,2015,7,5,2015,5,20,19,1,Offshore (<1km),Playing,Rescued,Male,34,No
Keelung City,2015,7,6,2015,5,21,16,26,River,Playing,Dead,Male,13,Unknown
Keelung City,2015,7,6,2015,5,21,16,26,River,Playing,Dead,Male,14,Unknown
Keelung City,2015,7,18,2015,6,3,16,36,Offshore (<1km),Playing,Missing,Male,Unknown,Unknown
Keelung City,2015,7,25,2015,6,10,11,5,Offshore (<1km),Saving Others,Rescued,Male,32,Yes
Keelung City,2015,7,25,2015,6,10,11,5,Offshore (<1km),Playing,Rescued,Female,38,Unknown
Keelung City,2015,7,25,2015,6,10,11,5,Offshore (<1km),Playing,Rescued,Male,42,Unknown
Keelung City,2015,7,25,2015,6,10,11,5,Offshore (<1km),Playing,Rescued,Male,13,Unknown
Keelung City,2015,7,25,2015,6,10,11,5,Offshore (<1km),Playing,Rescued,Male,9,Unknown
Keelung City,2015,7,25,2015,6,10,13,14,Offshore (>1km),Snorkeling,Dead,Male,Unknown,Unknown
Keelung City,2015,7,29,2015,6,14,14,14,Offshore (<1km),Others,Missing,Male,75,Unknown
Keelung City,2015,9,11,2015,7,29,15,16,Offshore (<1km),Traffic Accident,Dead,Male,66,Unknown
Keelung City,2015,9,11,2015,7,29,15,16,Offshore (<1km),Traffic Accident,Rescued,Male,59,Unknown
Keelung City,2015,9,11,2015,7,29,15,26,Offshore (<1km),Traffic Accident,Rescued,Male,67,Unknown
Keelung City,2015,9,14,2015,8,2,22,28,Offshore (<1km),Traffic Accident,Dead,Male,51,Unknown
Keelung City,2015,9,14,2015,8,2,22,28,Offshore (<1km),Traffic Accident,Dead,Male,49,Unknown
Keelung City,2015,10,1,2015,8,19,11,27,River,Floating Corpse,Dead,Male,70,Unknown
Keelung City,2015,11,7,2015,9,26,6,20,Swimming Pool,Others,Rescued,Female,67,Unknown
Hsinchu City,2015,4,4,2015,2,16,14,54,Lake,Suicide,Rescued,Female,60,No
Hsinchu City,2015,5,9,2015,3,21,17,58,River,Suicide,Rescued,Female,23,Unknown
Hsinchu City,2015,8,3,2015,6,19,11,26,Offshore (<1km),Work,Rescued,Female,80,No
Chiayi City,2015,5,27,2015,4,10,23,1,Reservoir,Suicide,Dead,Male,31,Unknown
Kinmin County,2015,3,28,2015,2,9,12,0,Offshore (>1km),Capsizing,Missing,Male,81,Unknown
Kinmin County,2015,3,28,2015,2,9,12,0,Offshore (>1km),Capsizing,Dead,Female,65,Unknown
Kinmin County,2015,3,28,2015,2,9,12,0,Offshore (>1km),Capsizing,Missing,Female,62,Unknown
Kinmin County,2015,9,21,2015,8,9,3,13,Offshore (>1km),Work,Dead,Male,37,Yes
Kinmin County,2015,9,25,2015,8,13,21,45,Lake,Playing,Dead,Male,Unknown,Unknown
Kinmin County,2015,11,14,2015,10,3,15,1,Lake,Work,Dead,Male,22,Unknown
Kinmin County,2015,11,14,2015,10,3,15,1,Lake,Work,Dead,Male,26,Unknown
Lienchiang County,2015,1,22,2014,12,3,10,45,Offshore (<1km),Others,Dead,Female,77,No
Lienchiang County,2015,6,15,2015,4,29,16,50,Offshore (<1km),Snorkeling,Dead,Male,56,Yes
Keelung Harbor,2015,2,5,2014,12,17,15,21,Dock,Suicide,Rescued,Female,52,Unknown
Keelung Harbor,2015,8,17,2015,7,4,0,0,Dock,Suicide,Rescued,Male,68,Unknown
Keelung Harbor,2015,8,26,2015,7,13,20,29,Others,Others,Rescued,Female,45,Unknown
Keelung Harbor,2015,9,14,2015,8,2,22,41,Offshore (<1km),Fishing,Dead,Male,50,Unknown
Keelung Harbor,2015,9,14,2015,8,2,22,41,Offshore (<1km),Fishing,Dead,Male,52,Unknown
Keelung Harbor,2015,10,28,2015,9,16,5,30,Dock,Work,Dead,Male,60,Unknown
Keelung Harbor,2015,10,28,2015,9,16,5,30,Dock,Work,Dead,Male,48,Unknown
Kaohsiung Harbor,2015,1,12,2014,11,22,3,33,Others,Others,Dead,Male,Unknown,Unknown
Kaohsiung Harbor,2015,1,19,2014,11,29,14,23,Others,Slipping,Dead,Male,43,Unknown
Kaohsiung Harbor,2015,2,19,2015,1,1,11,48,Others,Floating Corpse,Dead,Male,Unknown,Unknown
Kaohsiung Harbor,2015,2,22,2015,1,4,6,54,Others,Floating Corpse,Dead,Male,Unknown,Unknown
Kaohsiung Harbor,2015,3,20,2015,2,1,12,16,Dock,Suicide,Rescued,Male,62,Yes
Kaohsiung Harbor,2015,6,21,2015,5,6,20,46,Offshore (<1km),Slipping,Rescued,Male,36,Unknown
Kaohsiung Harbor,2015,7,8,2015,5,23,14,31,Dock,Suicide,Rescued,Female,61,No
Kaohsiung Harbor,2015,7,10,2015,5,25,14,38,Others,Slipping,Rescued,Male,38,Unknown
Kaohsiung Harbor,2015,7,21,2015,6,6,22,43,Offshore (<1km),Suicide,Rescued,Female,35,Unknown
Kaohsiung Harbor,2015,9,19,2015,8,7,2,13,Dock,Slipping,Rescued,Female,20,No
Kaohsiung Harbor,2015,9,23,2015,8,11,19,42,Offshore (<1km),Suicide,Rescued,Male,62,Yes
Kaohsiung Harbor,2015,10,1,2015,8,19,14,10,Others,Floating Corpse,Dead,Female,69,Unknown
Kaohsiung Harbor,2015,10,3,2015,8,21,11,30,Offshore (<1km),Suicide,Dead,Male,44,No
Kaohsiung Harbor,2015,10,3,2015,8,21,23,59,Dock,Others,Rescued,Female,38,Yes
Kaohsiung Harbor,2015,10,11,2015,8,29,19,55,Dock,Slipping,Rescued,Male,56,No
Kaohsiung Harbor,2015,11,15,2015,10,4,16,12,Dock,Work,Rescued,Female,54,Unknown
Kaohsiung Harbor,2015,11,20,2015,10,9,19,39,Offshore (<1km),Slipping,Rescued,Male,60,Unknown
Kaohsiung Harbor,2015,12,13,2015,11,3,2,39,Others,Fishing,Rescued,Male,25,No
Taipei City,2016,1,12,2015,12,3,12,14,River,Suicide,Rescued,Female,40,Yes
Taipei City,2016,1,22,2015,12,13,7,46,River,Floating Corpse,Dead,Unknown,Unknown,Unknown
Taipei City,2016,1,23,2015,12,14,2,1,River,Suicide,Missing,Unknown,Unknown,Unknown
Taipei City,2016,1,26,2015,12,17,12,23,River,Suicide,Dead,Female,60,Unknown
Taipei City,2016,1,28,2015,12,19,4,40,River,Slipping,Rescued,Female,39,Unknown
Taipei City,2016,2,11,2016,1,4,20,19,River,Floating Corpse,Dead,Male,Unknown,Unknown
Taipei City,2016,2,14,2016,1,7,9,49,River,Slipping,Rescued,Male,36,Unknown
Taipei City,2016,2,16,2016,1,9,14,23,River,Suicide,Rescued,Female,37,Unknown
Taipei City,2016,2,22,2016,1,15,6,43,River,Suicide,Dead,Male,65,Unknown
Taipei City,2016,3,1,2016,1,23,16,19,River,Suicide,Missing,Female,Unknown,Unknown
Taipei City,2016,3,2,2016,1,24,7,31,River,Suicide,Dead,Male,80,Unknown
Taipei City,2016,3,4,2016,1,26,11,31,Pond,Floating Corpse,Dead,Male,64,Unknown
Taipei City,2016,3,17,2016,2,9,8,18,Pond,Floating Corpse,Dead,Male,80,Unknown
Taipei City,2016,3,18,2016,2,10,8,34,River,Suicide,Rescued,Female,35,Unknown
Taipei City,2016,4,12,2016,3,6,12,42,River,Others,Rescued,Male,40,Unknown
Taipei City,2016,4,13,2016,3,7,7,12,River,Floating Corpse,Dead,Male,50,Unknown
Taipei City,2016,4,26,2016,3,20,8,44,River,Slipping,Rescued,Male,28,Unknown
Taipei City,2016,4,27,2016,3,21,10,23,River,Floating Corpse,Dead,Female,30,Unknown
Taipei City,2016,4,28,2016,3,22,9,33,River,Suicide,Dead,Male,43,Unknown
Taipei City,2016,5,1,2016,3,25,18,1,River,Suicide,Rescued,Female,30,Unknown
Taipei City,2016,5,1,2016,3,25,21,4,River,Traffic Accident,Rescued,Male,18,Unknown
Taipei City,2016,5,6,2016,3,30,6,47,Others,Floating Corpse,Dead,Male,Unknown,Unknown
Taipei City,2016,5,7,2016,4,1,9,7,River,Floating Corpse,Dead,Male,65,Unknown
Taipei City,2016,5,9,2016,4,3,15,27,River,Slipping,Rescued,Female,59,Unknown
Taipei City,2016,5,10,2016,4,4,11,18,Others,Others,Dead,Male,80,Unknown
Taipei City,2016,5,17,2016,4,11,13,38,River,Suicide,Rescued,Male,65,Unknown
Taipei City,2016,5,20,2016,4,14,16,44,River,Floating Corpse,Dead,Female,67,Unknown
Taipei City,2016,5,21,2016,4,15,6,42,River,Suicide,Dead,Male,86,Unknown
Taipei City,2016,5,21,2016,4,15,7,11,River,Slipping,Rescued,Male,27,Yes
Taipei City,2016,5,22,2016,4,16,14,34,Others,Floating Corpse,Dead,Male,49,Unknown
Taipei City,2016,6,8,2016,5,4,21,36,River,Suicide,Rescued,Male,70,Unknown
Taipei City,2016,6,20,2016,5,16,16,12,River,Floating Corpse,Dead,Female,60,Unknown
Taipei City,2016,6,27,2016,5,23,13,19,River,Suicide,Rescued,Male,38,Unknown
Taipei City,2016,6,30,2016,5,26,12,45,River,Suicide,Rescued,Female,64,Unknown
Taipei City,2016,7,1,2016,5,27,13,18,Swimming Pool,Playing,Rescued,Male,82,Unknown
Taipei City,2016,7,5,2016,6,2,9,16,River,Floating Corpse,Dead,Male,50,Unknown
Taipei City,2016,7,8,2016,6,5,17,20,River,Suicide,Missing,Male,23,Unknown
Taipei City,2016,7,12,2016,6,9,10,11,Swimming Pool,Playing,Rescued,Male,7,Unknown
Taipei City,2016,7,16,2016,6,13,23,23,River,Suicide,Dead,Male,49,Unknown
Taipei City,2016,7,17,2016,6,14,13,21,River,Floating Corpse,Dead,Male,59,Unknown
Taipei City,2016,7,20,2016,6,17,13,7,Others,Suicide,Rescued,Female,73,Unknown
Taipei City,2016,7,25,2016,6,22,20,1,Dock,Suicide,Dead,Male,48,Unknown
Taipei City,2016,7,28,2016,6,25,5,18,River,Floating Corpse,Dead,Female,50,Unknown
Taipei City,2016,7,29,2016,6,26,11,26,River,Suicide,Dead,Female,46,Unknown
Taipei City,2016,7,30,2016,6,27,6,25,River,Floating Corpse,Dead,Female,Unknown,Unknown
Taipei City,2016,8,3,2016,7,1,2,40,River,Floating Corpse,Dead,Male,71,Unknown
Taipei City,2016,8,13,2016,7,11,10,20,River,Floating Corpse,Dead,Male,60,Unknown
Taipei City,2016,8,15,2016,7,13,9,40,River,Floating Corpse,Dead,Female,40,Unknown
Taipei City,2016,8,19,2016,7,17,16,19,River,Suicide,Rescued,Female,43,Unknown
Taipei City,2016,8,20,2016,7,18,13,44,Dock,Floating Corpse,Dead,Male,63,Unknown
Taipei City,2016,8,25,2016,7,23,17,41,River,Work,Dead,Male,34,Unknown
Taipei City,2016,9,2,2016,8,2,13,41,River,Suicide,Dead,Male,72,Unknown
Taipei City,2016,9,6,2016,8,6,10,3,River,Suicide,Dead,Male,46,Unknown
Taipei City,2016,9,8,2016,8,8,9,11,Swimming Pool,Playing,Rescued,Male,9,No
Taipei City,2016,9,15,2016,8,15,7,38,River,Floating Corpse,Dead,Male,80,Unknown
Taipei City,2016,9,15,2016,8,15,16,0,River,Suicide,Dead,Male,69,Unknown
Taipei City,2016,9,20,2016,8,20,10,47,Pond,Floating Corpse,Dead,Female,94,Unknown
Taipei City,2016,9,21,2016,8,21,21,21,River,Suicide,Missing,Male,30,Unknown
Taipei City,2016,9,24,2016,8,24,6,44,Lake,Floating Corpse,Dead,Female,57,Unknown
Taipei City,2016,10,3,2016,9,3,0,46,River,Suicide,Rescued,Male,25,Yes
Taipei City,2016,10,10,2016,9,10,8,32,River,Floating Corpse,Dead,Male,Unknown,Unknown
Taipei City,2016,10,13,2016,9,13,9,2,River,Suicide,Rescued,Female,63,Unknown
Taipei City,2016,10,17,2016,9,17,7,45,River,Floating Corpse,Dead,Unknown,Unknown,Unknown
Taipei City,2016,10,17,2016,9,17,15,42,River,Suicide,Dead,Female,55,Unknown
Taipei City,2016,10,18,2016,9,18,20,2,River,Suicide,Rescued,Female,54,Unknown
Taipei City,2016,11,8,2016,10,9,7,16,River,Suicide,Dead,Male,75,Unknown
Taipei City,2016,12,3,2016,11,5,16,53,River,Floating Corpse,Dead,Male,50,Unknown
Taipei City,2016,12,6,2016,11,8,20,29,River,Suicide,Rescued,Female,14,Unknown
Taipei City,2016,12,15,2016,11,17,17,0,River,Floating Corpse,Dead,Female,40,Unknown
Taipei City,2016,12,20,2016,11,22,16,19,River,Suicide,Rescued,Female,29,Unknown
Taipei City,2016,12,26,2016,11,28,12,47,River,Suicide,Missing,Male,38,Unknown
New Taipei City,2016,1,1,2015,11,22,8,43,River,Others,Dead,Male,25,Unknown
New Taipei City,2016,1,5,2015,11,26,19,46,River,Suicide,Rescued,Female,57,Unknown
New Taipei City,2016,1,10,2015,12,1,16,16,Offshore (<1km),Others,Missing,Male,40,Unknown
New Taipei City,2016,1,11,2015,12,2,8,2,River,Floating Corpse,Dead,Male,50,Unknown
New Taipei City,2016,1,13,2015,12,4,16,40,River,Suicide,Rescued,Female,24,Unknown
New Taipei City,2016,1,25,2015,12,16,16,59,River,Floating Corpse,Dead,Male,57,Unknown
New Taipei City,2016,1,26,2015,12,17,12,25,River,Suicide,Dead,Female,Unknown,Unknown
New Taipei City,2016,1,27,2015,12,18,17,13,River,Others,Dead,Female,74,Unknown
New Taipei City,2016,1,28,2015,12,19,15,46,Offshore (<1km),Suicide,Dead,Male,Unknown,Unknown
New Taipei City,2016,1,29,2015,12,20,13,0,Ditch,Floating Corpse,Dead,Male,Unknown,Unknown
New Taipei City,2016,2,4,2015,12,26,13,31,Ditch,Floating Corpse,Dead,Male,59,Unknown
New Taipei City,2016,2,6,2015,12,28,3,15,River,Floating Corpse,Dead,Male,Unknown,Unknown
New Taipei City,2016,2,11,2016,1,4,16,22,River,Others,Dead,Female,50,Unknown
New Taipei City,2016,2,14,2016,1,7,11,20,Offshore (<1km),Fishing,Rescued,Male,56,Unknown
New Taipei City,2016,2,14,2016,1,7,11,20,Offshore (<1km),Fishing,Dead,Male,Unknown,Unknown
New Taipei City,2016,2,18,2016,1,11,15,57,River,Suicide,Dead,Male,55,Unknown
New Taipei City,2016,3,2,2016,1,24,7,32,River,Others,Dead,Male,70,Unknown
New Taipei City,2016,3,7,2016,1,29,11,40,River,Others,Dead,Male,46,Unknown
New Taipei City,2016,3,29,2016,2,21,1,40,Lake,Suicide,Dead,Male,20,Unknown
New Taipei City,2016,4,2,2016,2,25,19,51,River,Suicide,Missing,Male,39,Unknown
New Taipei City,2016,4,6,2016,2,29,2,37,Lake,Suicide,Dead,Female,74,Unknown
New Taipei City,2016,4,25,2016,3,19,0,0,Lake,Suicide,Rescued,Female,57,Unknown
New Taipei City,2016,4,26,2016,3,20,14,7,Lake,Suicide,Dead,Female,60,Unknown
New Taipei City,2016,4,30,2016,3,24,21,5,River,Suicide,Rescued,Female,32,Unknown
New Taipei City,2016,5,1,2016,3,25,8,3,River,Slipping,Rescued,Male,46,Unknown
New Taipei City,2016,5,10,2016,4,4,14,38,Offshore (<1km),Others,Rescued,Female,27,Unknown
New Taipei City,2016,5,12,2016,4,6,2,11,Offshore (<1km),Suicide,Dead,Male,61,Unknown
New Taipei City,2016,5,18,2016,4,12,14,14,River,Suicide,Dead,Unknown,Unknown,Unknown
New Taipei City,2016,5,21,2016,4,15,9,28,River,Suicide,Rescued,Male,32,Unknown
New Taipei City,2016,5,25,2016,4,19,3,24,Offshore (<1km),Capsizing,Rescued,Male,Unknown,Unknown
New Taipei City,2016,5,25,2016,4,19,3,24,Offshore (<1km),Capsizing,Rescued,Male,Unknown,Unknown
New Taipei City,2016,5,25,2016,4,19,3,24,Offshore (<1km),Capsizing,Rescued,Male,Unknown,Unknown
New Taipei City,2016,5,25,2016,4,19,3,24,Offshore (<1km),Capsizing,Rescued,Male,Unknown,Unknown
New Taipei City,2016,5,26,2016,4,20,1,5,Lake,Floating Corpse,Dead,Female,Unknown,Unknown
New Taipei City,2016,5,29,2016,4,23,13,35,Offshore (<1km),Playing,Rescued,Female,9,Unknown
New Taipei City,2016,5,29,2016,4,23,19,15,Lake,Slipping,Rescued,Male,Unknown,Unknown
New Taipei City,2016,5,30,2016,4,24,10,57,Lake,Suicide,Rescued,Female,Unknown,Unknown
New Taipei City,2016,6,5,2016,5,1,12,56,River,Others,Dead,Female,13,Unknown
New Taipei City,2016,6,5,2016,5,1,12,56,River,Others,Dead,Female,44,Unknown
New Taipei City,2016,6,5,2016,5,1,12,56,River,Others,Dead,Female,45,Unknown
New Taipei City,2016,6,5,2016,5,1,12,56,River,Others,Dead,Female,41,Unknown
New Taipei City,2016,6,5,2016,5,1,12,56,River,Others,Dead,Female,45,Unknown
New Taipei City,2016,6,5,2016,5,1,12,56,River,Others,Rescued,Female,15,Unknown
New Taipei City,2016,6,5,2016,5,1,15,40,River,Fishing,Dead,Male,68,Unknown
New Taipei City,2016,6,8,2016,5,4,13,26,Lake,Suicide,Rescued,Male,Unknown,Unknown
New Taipei City,2016,6,13,2016,5,9,2,43,River,Suicide,Rescued,Female,52,Unknown
New Taipei City,2016,6,25,2016,5,21,11,33,River,Suicide,Rescued,Female,34,Unknown
New Taipei City,2016,6,25,2016,5,21,11,55,River,Slipping,Rescued,Female,54,Unknown
New Taipei City,2016,6,26,2016,5,22,3,12,River,Suicide,Rescued,Female,27,Unknown
New Taipei City,2016,6,26,2016,5,22,3,13,River,Suicide,Dead,Male,56,Unknown
New Taipei City,2016,6,29,2016,5,25,19,50,River,Suicide,Rescued,Female,39,Unknown
New Taipei City,2016,7,3,2016,5,29,12,9,River,Playing,Dead,Male,33,Unknown
New Taipei City,2016,7,8,2016,6,5,11,41,River,Suicide,Dead,Unknown,Unknown,Unknown
New Taipei City,2016,7,9,2016,6,6,16,56,River,Floating Corpse,Dead,Male,Unknown,Unknown
New Taipei City,2016,7,9,2016,6,6,21,49,River,Suicide,Rescued,Female,29,Unknown
New Taipei City,2016,7,12,2016,6,9,16,10,Lake,Suicide,Dead,Female,Unknown,Unknown
New Taipei City,2016,7,12,2016,6,9,23,45,Reservoir,Suicide,Dead,Female,Unknown,Unknown
New Taipei City,2016,7,13,2016,6,10,12,45,Lake,Suicide,Rescued,Female,46,Unknown
New Taipei City,2016,7,14,2016,6,11,14,57,River,Playing,Rescued,Male,19,No
New Taipei City,2016,7,14,2016,6,11,20,22,Offshore (<1km),Others,Missing,Unknown,Unknown,Unknown
New Taipei City,2016,7,15,2016,6,12,18,18,Offshore (<1km),Others,Dead,Male,61,Unknown
New Taipei City,2016,7,16,2016,6,13,15,16,Offshore (<1km),Others,Dead,Male,Unknown,Unknown
New Taipei City,2016,7,17,2016,6,14,12,45,River,Others,Rescued,Male,38,Unknown
New Taipei City,2016,7,22,2016,6,19,7,3,River,Floating Corpse,Dead,Male,44,Unknown
New Taipei City,2016,7,25,2016,6,22,4,7,River,Suicide,Rescued,Female,44,Unknown
New Taipei City,2016,7,31,2016,6,28,12,11,Offshore (<1km),Snorkeling,Dead,Female,34,Unknown
New Taipei City,2016,7,31,2016,6,28,12,39,River,Slipping,Dead,Male,59,Unknown
New Taipei City,2016,7,31,2016,6,28,13,25,Offshore (<1km),Playing,Rescued,Male,24,Unknown
New Taipei City,2016,7,31,2016,6,28,19,39,River,Others,Rescued,Male,35,Unknown
New Taipei City,2016,8,1,2016,6,29,18,4,River,Floating Corpse,Dead,Female,40,Unknown
New Taipei City,2016,8,7,2016,7,5,12,57,Lake,Floating Corpse,Dead,Female,70,Unknown
New Taipei City,2016,8,10,2016,7,8,19,3,Offshore (<1km),Others,Rescued,Female,18,Unknown
New Taipei City,2016,8,17,2016,7,15,8,55,River,Floating Corpse,Dead,Male,Unknown,Unknown
New Taipei City,2016,8,17,2016,7,15,11,47,River,Others,Dead,Male,Unknown,Unknown
New Taipei City,2016,8,18,2016,7,16,9,59,River,Others,Dead,Male,70,Unknown
New Taipei City,2016,8,19,2016,7,17,19,45,River,Suicide,Dead,Female,41,Unknown
New Taipei City,2016,8,20,2016,7,18,15,51,Offshore (<1km),Snorkeling,Rescued,Male,29,Unknown
New Taipei City,2016,9,4,2016,8,4,12,53,River,Playing,Dead,Male,19,Unknown
New Taipei City,2016,9,4,2016,8,4,17,9,Offshore (<1km),Playing,Dead,Male,30,Unknown
New Taipei City,2016,9,7,2016,8,7,23,57,Lake,Suicide,Rescued,Male,40,Unknown
New Taipei City,2016,9,8,2016,8,8,11,3,Ditch,Others,Rescued,Male,76,Unknown
New Taipei City,2016,9,9,2016,8,9,14,8,Offshore (<1km),Playing,Rescued,Male,21,Unknown
New Taipei City,2016,9,11,2016,8,11,8,57,River,Floating Corpse,Dead,Female,Unknown,Unknown
New Taipei City,2016,9,18,2016,8,18,7,18,River,Suicide,Dead,Male,51,Unknown
New Taipei City,2016,9,18,2016,8,18,12,19,Dock,Suicide,Dead,Female,64,Unknown
New Taipei City,2016,9,18,2016,8,18,15,37,Offshore (<1km),Slipping,Dead,Male,Unknown,Unknown
New Taipei City,2016,9,21,2016,8,21,6,44,River,Others,Dead,Female,66,Unknown
New Taipei City,2016,9,28,2016,8,28,20,41,Lake,Suicide,Missing,Male,Unknown,Unknown
New Taipei City,2016,10,2,2016,9,2,8,47,River,Floating Corpse,Dead,Male,Unknown,Unknown
New Taipei City,2016,10,4,2016,9,4,20,44,River,Suicide,Missing,Female,56,Unknown
New Taipei City,2016,10,7,2016,9,7,6,32,River,Floating Corpse,Dead,Male,Unknown,Unknown
New Taipei City,2016,10,7,2016,9,7,11,38,River,Floating Corpse,Dead,Female,Unknown,Unknown
New Taipei City,2016,10,7,2016,9,7,19,11,River,Suicide,Missing,Male,Unknown,Unknown
New Taipei City,2016,10,14,2016,9,14,15,54,River,Floating Corpse,Dead,Male,Unknown,Unknown
New Taipei City,2016,10,17,2016,9,17,6,22,Dock,Capsizing,Rescued,Male,61,Unknown
New Taipei City,2016,10,17,2016,9,17,6,22,Dock,Capsizing,Rescued,Male,34,Unknown
New Taipei City,2016,10,20,2016,9,20,9,28,River,Floating Corpse,Dead,Male,Unknown,Unknown
New Taipei City,2016,10,22,2016,9,22,6,45,River,Floating Corpse,Dead,Male,35,Unknown
New Taipei City,2016,10,23,2016,9,23,13,22,Offshore (<1km),Snorkeling,Rescued,Male,47,Unknown
New Taipei City,2016,10,28,2016,9,28,3,8,River,Suicide,Rescued,Female,44,Unknown
New Taipei City,2016,11,4,2016,10,5,14,11,Offshore (<1km),Fishing,Rescued,Male,50,Unknown
New Taipei City,2016,11,17,2016,10,18,9,46,Offshore (<1km),Floating Corpse,Dead,Male,Unknown,Unknown
New Taipei City,2016,11,18,2016,10,19,11,56,River,Others,Dead,Male,50,Unknown
New Taipei City,2016,11,28,2016,10,29,15,2,Offshore (<1km),Others,Rescued,Male,40,Unknown
New Taipei City,2016,11,28,2016,10,29,15,2,Offshore (<1km),Others,Rescued,Male,36,Unknown
New Taipei City,2016,12,3,2016,11,5,5,47,River,Suicide,Rescued,Female,26,Unknown
New Taipei City,2016,12,10,2016,11,12,20,0,Offshore (<1km),Others,Dead,Male,Unknown,Unknown
New Taipei City,2016,12,10,2016,11,12,23,42,River,Suicide,Rescued,Female,21,Unknown
New Taipei City,2016,12,11,2016,11,13,6,26,Offshore (>1km),Capsizing,Missing,Unknown,Unknown,Unknown
New Taipei City,2016,12,11,2016,11,13,6,26,Offshore (>1km),Capsizing,Missing,Unknown,Unknown,Unknown
New Taipei City,2016,12,11,2016,11,13,6,26,Offshore (>1km),Capsizing,Missing,Unknown,Unknown,Unknown
New Taipei City,2016,12,11,2016,11,13,6,26,Offshore (>1km),Capsizing,Dead,Unknown,Unknown,Unknown
New Taipei City,2016,12,11,2016,11,13,6,26,Offshore (>1km),Capsizing,Dead,Unknown,Unknown,Unknown
New Taipei City,2016,12,11,2016,11,13,6,26,Offshore (>1km),Capsizing,Missing,Unknown,Unknown,Unknown
New Taipei City,2016,12,11,2016,11,13,6,26,Offshore (>1km),Capsizing,Rescued,Male,50,Unknown
New Taipei City,2016,12,11,2016,11,13,6,26,Offshore (>1km),Capsizing,Missing,Unknown,Unknown,Unknown
New Taipei City,2016,12,11,2016,11,13,6,26,Offshore (>1km),Capsizing,Rescued,Male,51,Unknown
New Taipei City,2016,12,13,2016,11,15,15,16,Offshore (<1km),Slipping,Rescued,Male,50,Unknown
New Taipei City,2016,12,19,2016,11,21,22,35,River,Suicide,Rescued,Male,54,Unknown
Taichung City,2016,1,23,2015,12,14,1,25,River,Suicide,Missing,Male,39,Unknown
Taichung City,2016,2,16,2016,1,9,13,28,Ditch,Suicide,Dead,Male,54,Unknown
Taichung City,2016,3,6,2016,1,28,19,3,River,Fishing,Dead,Male,65,Unknown
Taichung City,2016,3,14,2016,2,6,11,30,River,Suicide,Dead,Female,65,Unknown
Taichung City,2016,3,28,2016,2,20,21,6,River,Suicide,Dead,Male,25,Unknown
Taichung City,2016,4,18,2016,3,12,16,12,Pond,Work,Dead,Male,51,Unknown
Taichung City,2016,4,24,2016,3,18,0,28,River,Others,Missing,Female,42,Unknown
Taichung City,2016,4,24,2016,3,18,13,0,River,Floating Corpse,Dead,Male,40,Unknown
Taichung City,2016,5,1,2016,3,25,13,13,River,Others,Rescued,Female,17,Unknown
Taichung City,2016,5,2,2016,3,26,7,50,Swimming Pool,Others,Dead,Female,76,Yes
Taichung City,2016,5,15,2016,4,9,22,51,Ditch,Suicide,Dead,Female,64,Unknown
Taichung City,2016,6,4,2016,4,29,11,45,River,Floating Corpse,Dead,Male,87,Unknown
Taichung City,2016,6,6,2016,5,2,9,28,River,Suicide,Rescued,Female,32,Yes
Taichung City,2016,6,6,2016,5,2,16,15,River,Floating Corpse,Dead,Unknown,Unknown,Unknown
Taichung City,2016,6,12,2016,5,8,14,54,River,Suicide,Dead,Female,82,Unknown
Taichung City,2016,6,14,2016,5,10,13,23,River,Others,Dead,Female,Unknown,Unknown
Taichung City,2016,6,14,2016,5,10,16,3,Others,Others,Dead,Female,65,Unknown
Taichung City,2016,6,17,2016,5,13,5,6,Ditch,Floating Corpse,Dead,Male,57,Unknown
Taichung City,2016,6,25,2016,5,21,13,12,Swimming Pool,Others,Dead,Male,71,Unknown
Taichung City,2016,6,27,2016,5,23,15,53,River,Slipping,Dead,Male,17,Unknown
